18,Ar,Argon,39.948,18,22,18,3,18,Gas,False,True,False,True,False,Noble gas,0.88,None,15.7596,0.00178,83.96,87.3,8,None,1894,0.52,3,8
19,K,Potassium,39.098,19,20,19,4,1,Solid,False,True,True,False,False,Alkali metal,2.8,0.82,4.3407,0.862,336.5,1032.0,10,None,1807,0.757,4,1
20,Ca,Calcium,40.078,20,20,20,4,2,Solid,False,True,True,False,False,Alkaline earth metal,2.2,1.0,6.1132,1.54,1112.15,1757.0,14,None,1808,0.647,4,2
21,Sc,Scandium,44.956,21,24,21,4,3,Solid,False,True,True,False,False,Transition metal,2.1,1.36,6.5615,2.99,1812.15,3109.0,15,None,1878,0.568,4,None
22,Ti,Titanium,47.867,22,26,22,4,4,Solid,False,True,True,False,False,Transition metal,2.0,1.54,6.8281,4.54,1933.15,3560.0,9,None,1791,0.523,4,None
23,V,Vanadium,50.942,23,28,23,4,5,Solid,False,True,True,False,False,Transition metal,1.9,1.63,6.7462,6.11,2175.15,3680.0,9,None,1801,0.489,4,None
24,Cr,Chromium,51.996,24,28,24,4,6,Solid,False,True,True,False,False,Transition metal,1.9,1.66,6.7665,7.15,2130.15,2944.0,9,None,1797,0.449,4,None
26,Fe,Iron,55.845,26,30,26,4,8,Solid,False,True,True,False,False,Transition metal,1.7,1.83,7.9024,7.87,1808.15,3134.0,10,None,None,0.449,4,None
27,Co,Cobalt,58.933,27,32,27,4,9,Solid,False,True,True,False,False,Transition metal,1.7,1.88,7.881,8.86,1768.15,3200.0,14,None,1735,0.421,4,None
28,Ni,Nickel,58.693,28,31,28,4,10,Solid,False,True,True,False,False,Transition metal,1.6,1.91,7.6398,8.91,1726.15,3186.0,11,None,1751,0.444,4,None
29,Cu,Copper,63.546,29,35,29,4,11,Solid,False,True,True,False,False,Transition metal,1.6,1.9,7.7264,8.96,1357.75,2835.0,11,None,None,0.385,4,None
30,Zn,Zinc,65.38,30,35,30,4,12,Solid,False,True,True,False,False,Transition metal,1.5,1.65,9.3942,7.13,692.88,1180.0,15,None,None,0.388,4,None
31,Ga,Gallium,69.723,31,39,31,4,13,Solid,False,True,True,False,False,Metal,1.8,1.81,5.9993,5.91,302.91,2477.0,14,None,1875,0.371,4,3
32,Ge,Germanium,72.64,32,41,32,4,14,Solid,False,True,False,False,True,Metalloid,1.5,2.01,7.8994,5.32,1211.45,3106.0,17,None,1886,0.32,4,4
33,As,Arsenic,74.922,33,42,33,4,15,Solid,False,True,False,False,True,Metalloid,1.3,2.18,9.7886,5.78,1090.15,887.0,14,None,1250,0.329,4,5
34,Se,Selenium,78.96,34,45,34,4,16,Solid,False,True,False,True,False,Nonmetal,1.2,2.55,9.7524,4.81,494.15,958.0,20,None,1817,0.321,4,6
35,Br,Bromine,79.904,35,45,35,4,17,Liq,False,True,False,True,False,Halogen,1.1,2.96,11.8138,3.12,266.05,332.0,19,None,1826,0.474,4,7
36,Kr,Krypton,83.798,36,48,36,4,18,Gas,False,True,False,True,False,Noble gas,1.0,None,13.9996,0.00373,115.93,119.93,23,None,1898,0.248,4,8
37,Rb,Rubidium,85.468,37,48,37,5,1,Solid,False,True,True,False,False,Alkali metal,3.0,0.82,4.1771,1.53,312.79,961.0,20,None,1861,0.363,5,1
38,Sr,Strontium,87.62,38,50,38,5,2,Solid,False,True,True,False,False,Alkaline earth metal,2.5,0.95,5.6949,2.64,1042.15,1655.0,18,None,1808,0.301,5,2
39,Y,Yttrium,88.906,39,50,39,5,3,Solid,False,True,True,False,False,Transition metal,2.3,1.22,6.2173,4.47,1799.15,3609.0,21,None,1794,0.298,5,None
40,Zr,Zirconium,91.224,40,51,40,5,4,Solid,False,True,True,False,False,Transition metal,2.2,1.33,6.6339,6.51,2125.15,4682.0,20,None,1789,0.278,5,None
41,Nb,Niobium,92.906,41,52,41,5,5,Solid,False,True,True,False,False,Transition metal,2.1,1.6,6.7589,8.57,2741.15,5017.0,24,None,1801,0.265,5,None
42,Mo,Molybdenum,95.96,42,54,42,5,6,Solid,False,True,True,False,False,Transition metal,2.0,2.16,7.0924,10.2,2890.15,4912.0,20,None,1778,0.251,5,None
43,Tc,Technetium,98.0,43,55,43,5,7,Artificial,True,False,True,False,False,Transition metal,2.0,1.9,7.28,11.5,2473.15,5150.0,23,None,1937,None,5,None
44,Ru,Ruthenium,101.07,44,57,44,5,8,Solid,False,True,True,False,False,Transition metal,1.9,2.2,7.3605,12.4,2523.15,4423.0,16,None,1844,0.238,5,None
45,Rh,Rhodium,102.906,45,58,45,5,9,Solid,False,True,True,False,False,Transition metal,1.8,2.28,7.4589,12.4,2239.15,3968.0,20,None,1803,0.243,5,None
46,Pd,Palladium,106.42,46,60,46,5,10,Solid,False,True,True,False,False,Transition metal,1.8,2.2,8.3369,12.0,1825.15,3236.0,21,None,1803,0.244,5,None
47,Ag,Silver,107.868,47,61,47,5,11,Solid,False,True,True,False,False,Transition metal,1.8,1.93,7.5762,10.5,1234.15,2435.0,27,None,None,0.235,5,None
48,Cd,Cadmium,112.411,48,64,48,5,12,Solid,False,True,True,False,False,Transition metal,1.7,1.69,8.9938,8.69,594.33,1040.0,22,None,1817,0.232,5,None
49,In,Indium,114.818,49,66,49,5,13,Solid,False,True,True,False,False,Metal,2.0,1.78,5.7864,7.31,429.91,2345.0,34,None,1863,0.233,5,3
50,Sn,Tin,118.71,50,69,50,5,14,Solid,False,True,True,False,False,Metal,1.7,1.96,7.3439,7.29,505.21,2875.0,28,None,None,0.228,5,4
51,Sb,Antimony,121.76,51,71,51,5,15,Solid,False,True,False,False,True,Metalloid,1.5,2.05,8.6084,6.69,904.05,1860.0,29,None,None,0.207,5,5
52,Te,Tellurium,127.6,52,76,52,5,16,Solid,False,True,False,False,True,Metalloid,1.4,2.1,9.0096,6.23,722.8,1261.0,29,None,1782,0.202,5,6
53,I,Iodine,126.904,53,74,53,5,17,Solid,False,True,False,True,False,Halogen,1.3,2.66,10.4513,4.93,386.65,457.4,24,None,1811,0.214,5,7
54,Xe,Xenon,131.293,54,77,54,5,18,Gas,False,True,False,True,False,Noble gas,1.2,None,12.1298,0.00589,161.45,165.03,31,None,1898,0.158,5,8
55,Cs,Cesium,132.905,55,78,55,6,1,Solid,False,True,True,False,False,Alkali metal,3.3,0.79,3.8939,1.87,301.7,944.0,22,None,1860,0.242,6,1
56,Ba,Barium,137.327,56,81,56,6,2,Solid,False,True,True,False,False,Alkaline earth metal,2.8,0.89,5.2117,3.59,1002.15,2170.0,25,None,1808,0.204,6,2
57,La,Lanthanum,138.905,57,82,57,6,3,Solid,False,True,True,False,False,Lanthanide,2.7,1.1,5.5769,6.15,1193.15,3737.0,19,None,1839,0.195,6,None
58,Ce,Cerium,140.116,58,82,58,6,None,Solid,False,True,True,False,False,Lanthanide,2.7,1.12,5.5387,6.77,1071.15,3716.0,19,None,1803,0.192,6,None
59,Pr,Praseodymium,140.908,59,82,59,6,None,Solid,False,True,True,False,False,Lanthanide,2.7,1.13,5.473,6.77,1204.15,3793.0,15,None,1885,0.193,6,None
60,Nd,Neodymium,144.242,60,84,60,6,None,Solid,False,True,True,False,False,Lanthanide,2.6,1.14,5.525,7.01,1289.15,3347.0,16,None,1885,0.19,6,None
61,Pm,Promethium,145.0,61,84,61,6,None,Artificial,True,False,True,False,False,Lanthanide,2.6,1.13,5.582,7.26,1204.15,3273.0,14,None,1945,None,6,None
62,Sm,Samarium,150.36,62,88,62,6,None,Solid,False,True,True,False,False,Lanthanide,2.6,1.17,5.6437,7.52,1345.15,2067.0,17,None,1879,0.197,6,None
63,Eu,Europium,151.964,63,89,63,6,None,Solid,False,True,True,False,False,Lanthanide,2.6,1.2,5.6704,5.24,1095.15,1802.0,21,None,1901,0.182,6,None
64,Gd,Gadolinium,157.25,64,93,64,6,None,Solid,False,True,True,False,False,Lanthanide,2.5,1.2,6.1501,7.9,1585.15,3546.0,17,None,1880,0.236,6,None
65,Tb,Terbium,158.925,65,94,65,6,None,Solid,False,True,True,False,False,Lanthanide,2.5,1.2,5.8638,8.23,1630.15,3503.0,24,None,1843,0.182,6,None
66,Dy,Dysprosium,162.5,66,97,66,6,None,Solid,False,True,True,False,False,Lanthanide,2.5,1.22,5.9389,8.55,1680.15,2840.0,21,None,1886,0.17,6,None
67,Ho,Holmium,164.93,67,98,67,6,None,Solid,False,True,True,False,False,Lanthanide,2.5,1.23,6.0215,8.8,1743.15,2993.0,29,None,1878,0.165,6,None
68,Er,Erbium,167.259,68,99,68,6,None,Solid,False,True,True,False,False,Lanthanide,2.5,1.24,6.1077,9.07,1795.15,3503.0,16,None,1843,0.168,6,None
69,Tm,Thulium,168.934,69,100,69,6,None,Solid,False,True,True,False,False,Lanthanide,2.4,1.25,6.1843,9.32,1818.15,2223.0,18,None,1879,0.16,6,None
70,Yb,Ytterbium,173.054,70,103,70,6,None,Solid,False,True,True,False,False,Lanthanide,2.4,1.1,6.2542,6.97,1097.15,1469.0,16,None,1878,0.155,6,None
71,Lu,Lutetium,174.967,71,104,71,6,None,Solid,False,True,True,False,False,Lanthanide,2.3,1.27,5.4259,9.84,1936.15,3675.0,22,None,1907,0.154,6,None
72,Hf,Hafnium,178.49,72,106,72,6,4,Solid,False,True,True,False,False,Transition metal,2.2,1.3,6.8251,13.3,2500.15,4876.0,17,None,1923,0.144,6,None
73,Ta,Tantalum,180.948,73,108,73,6,5,Solid,False,True,True,False,False,Transition metal,2.1,1.5,7.5496,16.7,3269.15,5731.0,19,None,1801,0.14,6,None
74,W,Wolfram,183.84,74,110,74,6,6,Solid,False,True,True,False,False,Transition metal,2.0,2.36,7.864,19.3,3680.15,5828.0,22,None,1783,0.132,6,None
76,Os,Osmium,190.23,76,114,76,6,8,Solid,False,True,True,False,False,Transition metal,1.9,2.2,8.4382,22.6,3300.15,5285.0,19,None,1803,0.13,6,None
77,Ir,Iridium,192.217,77,115,77,6,9,Solid,False,True,True,False,False,Transition metal,1.9,2.2,8.967,22.6,2716.15,4701.0,25,None,1804,0.131,6,None
78,Pt,Platinum,195.084,78,117,78,6,10,Solid,False,True,True,False,False,Transition metal,1.8,2.28,8.9587,21.5,2045.15,4098.0,32,None,1735,0.133,6,None
79,Au,Gold,196.967,79,118,79,6,11,Solid,False,True,True,False,False,Transition metal,1.8,2.54,9.2255,19.3,1337.73,3129.0,21,None,None,0.129,6,None
80,Hg,Mercury,200.59,80,121,80,6,12,Liq,False,True,True,False,False,Transition metal,1.8,2.0,10.4375,13.5,234.43,630.0,26,None,None,0.14,6,None
81,Tl,Thallium,204.383,81,123,81,6,13,Solid,False,True,True,False,False,Metal,2.1,2.04,6.1082,11.9,577.15,1746.0,28,None,1861,0.129,6,3
82,Pb,Lead,207.2,82,125,82,6,14,Solid,False,True,True,False,False,Metal,1.8,2.33,7.4167,11.3,600.75,2022.0,29,None,None,0.129,6,4
83,Bi,Bismuth,208.98,83,126,83,6,15,Solid,False,True,True,False,False,Metal,1.6,2.02,7.2856,9.81,544.67,1837.0,19,None,1753,0.122,6,5
84,Po,Polonium,210.0,84,126,84,6,16,Solid,True,True,False,False,True,Metalloid,1.5,2.0,8.417,9.32,527.15,1235.0,34,None,1898,None,6,6
85,At,Astatine,210.0,85,125,85,6,17,Solid,True,True,False,True,False,Noble gas,1.4,2.2,9.3,7.0,575.15,610.0,21,None,1940,None,6,7
86,Rn,Radon,222.0,86,136,86,6,18,Gas,True,True,True,False,False,Alkali metal,1.3,None,10.7485,0.00973,202.15,211.3,20,None,1900,0.094,6,8
87,Fr,Francium,223.0,87,136,87,7,1,Solid,True,True,True,False,False,Alkaline earth metal,None,0.7,4.0727,1.87,300.15,950.0,21,None,1939,None,7,1
88,Ra,Radium,226.0,88,138,88,7,2,Solid,True,True,True,False,False,Actinide,None,0.9,5.2784,5.5,973.15,2010.0,15,None,1898,None,7,2
89,Ac,Actinium,227.0,89,138,89,7,3,Solid,True,True,True,False,False,Actinide,None,1.1,5.17,10.1,1323.15,3471.0,11,None,1899,0.12,7,None
90,Th,Thorium,232.038,90,142,90,7,None,Solid,True,True,True,False,False,Actinide,None,1.3,6.3067,11.7,2028.15,5061.0,12,None,1828,0.113,7,None
91,Pa,Protactinium,231.036,91,140,91,7,None,Solid,True,True,True,False,False,Actinide,None,1.5,5.89,15.4,1873.15,4300.0,14,None,1917,None,7,None
92,U,Uranium,238.029,92,146,92,7,None,Solid,True,True,True,False,False,Actinide,None,1.38,6.1941,19.0,1405.15,4404.0,15,None,1841,0.116,7,None
93,Np,Neptunium,237.0,93,144,93,7,None,Artificial,True,False,True,False,False,Actinide,None,1.36,6.2657,20.5,913.15,4273.0,153,None,1940,None,7,None
94,Pu,Plutonium,244.0,94,150,94,7,None,Artificial,True,False,True,False,False,Actinide,None,1.28,6.0262,19.8,913.15,3501.0,163,None,1940,None,7,None
95,Am,Americium,243.0,95,148,95,7,None,Artificial,True,False,True,False,False,Actinide,None,1.3,5.9738,13.7,1267.15,2880.0,133,None,1944,None,7,None
96,Cm,Curium,247.0,96,151,96,7,None,Artificial,True,False,True,False,False,Actinide,None,1.3,5.9915,13.5,1340.15,3383.0,133,None,1944,None,7,None
97,Bk,Berkelium,247.0,97,150,97,7,None,Artificial,True,False,True,False,False,Actinide,None,1.3,6.1979,14.8,1259.15,983.0,83,None,1949,None,7,None
98,Cf,Californium,251.0,98,153,98,7,None,Artificial,True,False,True,False,False,Actinide,None,1.3,6.2817,15.1,1925.15,1173.0,123,None,1950,None,7,None
99,Es,Einsteinium,252.0,99,153,99,7,None,Artificial,True,False,True,False,False,Actinide,None,1.3,6.42,13.5,1133.15,None,123,None,1952,None,7,None
100,Fm,Fermium,257.0,100,157,100,7,None,Artificial,True,False,True,False,False,Actinide,None,1.3,6.5,None,None,None,103,None,1953,None,7,None
101,Md,Mendelevium,258.0,101,157,101,7,None,Artificial,True,False,True,False,False,Actinide,None,1.3,6.58,None,None,None,33,None,1955,None,7,None
102,No,Nobelium,259.0,102,157,102,7,None,Artificial,True,False,True,False,False,Actinide,None,1.3,6.65,None,None,None,73,None,1958,None,7,None
103,Lr,Lawrencium,262.0,103,159,103,7,None,Artificial,True,False,True,False,False,Actinide,None,None,None,None,None,None,203,None,1961,None,7,None
104,Rf,Rutherfordium,261.0,104,157,104,7,4,Artificial,True,False,True,False,False,Transactinide,None,None,None,18.1,None,None,None,None,1969,None,7,None
105,Db,Dubnium,262.0,105,157,105,7,5,Artificial,True,False,True,False,False,Transactinide,None,None,None,39.0,None,None,None,None,1970,None,7,None
106,Sg,Seaborgium,266.0,106,160,106,7,6,Artificial,True,False,True,False,False,Transactinide,None,None,None,35.0,None,None,None,None,1974,None,7,None
107,Bh,Bohrium,264.0,107,157,107,7,7,Artificial,True,False,True,False,False,Transactinide,None,None,None,37.0,None,None,None,None,1981,None,7,None
108,Hs,Hassium,267.0,108,159,108,7,8,Artificial,True,False,True,False,False,Transactinide,None,None,None,41.0,None,None,None,None,1983,None,7,None
110,Ds,Darmstadtium,271.0,110,161,110,7,10,Artificial,True,False,True,False,False,Transactinide,None,None,None,None,None,None,None,None,1994,None,7,None
111,Rg,Roentgenium,272.0,111,161,111,7,11,Artificial,True,False,True,False,False,Transactinide,None,None,None,None,None,None,None,None,1994,None,7,None
112,Cn,Copernicium,285.0,112,173,112,7,12,Artificial,True,False,True,False,False,Transactinide,None,None,None,None,None,None,None,None,1996,None,7,None
113,Nh,Nihonium,284.0,113,171,113,7,13,Artificial,True,False,True,False,False,,None,None,None,None,None,None,None,None,2004,None,7,3
114,Fl,Flerovium,289.0,114,175,114,7,14,Artificial,True,False,True,False,False,Transactinide,None,None,None,None,None,None,None,None,1999,None,7,4
115,Mc,Moscovium,288.0,115,173,115,7,15,Artificial,True,False,True,False,False,,None,None,None,None,None,None,None,None,2010,None,7,5
116,Lv,Livermorium,292.0,116,176,116,7,16,Artificial,True,False,True,False,False,Transactinide,None,None,None,None,None,None,None,None,2000,None,7,6
117,Ts,Tennessine,295.0,117,178,117,7,17,Artificial,True,False,False,True,False,,None,None,None,None,None,None,None,None,2010,None,7,7
118,Og,Oganesson,294.0,118,176,118,7,18,Artificial,True,False,False,True,False,Noble gas,None,None,None,None,None,None,None,None,2006,None,7,8
