1,H,Hydrogen,1.007,1,0,1,1,1,Gas,False,True,False,True,False,Nonmetal,0.79,2.2,13.5984,8.99e-05,14.175,20.28,3,None,1766,14.304,1,1
2,He,Helium,4.002,2,2,2,1,18,Gas,False,True,False,True,False,Noble gas,0.49,None,24.5874,0.000179,None,4.22,5,None,1868,5.193,1,None
3,Li,Lithium,6.941,3,4,3,2,1,Solid,False,True,True,False,False,Alkali metal,2.1,0.98,5.3917,0.534,453.85,1615.0,5,None,1817,3.582,2,1
4,Be,Beryllium,9.012,4,5,4,2,2,Solid,False,True,True,False,False,Alkaline earth metal,1.4,1.57,9.3227,1.85,1560.15,2742.0,6,None,1798,1.825,2,2
5,B,Boron,10.811,5,6,5,2,13,Solid,False,True,False,False,True,Metalloid,1.2,2.04,8.298,2.34,2573.15,4200.0,6,None,1808,1.026,2,3
6,C,Carbon,12.011,6,6,6,2,14,Solid,False,True,False,True,False,Nonmetal,0.91,2.55,11.2603,2.27,3948.15,4300.0,7,None,None,0.709,2,4
7,N,Nitrogen,14.007,7,7,7,2,15,Gas,False,True,False,True,False,Nonmetal,0.75,3.04,14.5341,0.00125,63.29,77.36,8,None,1772,1.04,2,5
8,O,Oxygen,15.999,8,8,8,2,16,Gas,False,True,False,True,False,Nonmetal,0.65,3.44,13.6181,0.00143,50.5,90.2,8,None,1774,0.918,2,6
9,F,Fluorine,18.998,9,10,9,2,17,Gas,False,True,False,True,False,Halogen,0.57,3.98,17.4228,0.0017,53.63,85.03,6,None,1886,0.824,2,7
10,Ne,Neon,20.18,10,10,10,2,18,Gas,False,True,False,True,False,Noble gas,0.51,None,21.5645,0.0009,24.703,27.07,8,None,1898,1.03,2,8
11,Na,Sodium,22.99,11,12,11,3,1,Solid,False,True,True,False,False,Alkali metal,2.2,0.93,5.1391,0.971,371.15,1156.0,7,None,1807,1.228,3,1
12,Mg,Magnesium,24.305,12,12,12,3,2,Solid,False,True,True,False,False,Alkaline earth metal,1.7,1.31,7.6462,1.74,923.15,1363.0,8,None,1755,1.023,3,2
13,Al,Aluminum,26.982,13,14,13,3,13,Solid,False,True,True,False,False,Metal,1.8,1.61,5.9858,2.7,933.4,2792.0,8,None,1827,0.897,3,3
14,Si,Silicon,28.086,14,14,14,3,14,Solid,False,True,False,False,True,Metalloid,1.5,1.9,8.1517,2.33,1683.15,3538.0,8,None,1824,0.705,3,4
15,P,Phosphorus,30.974,15,16,15,3,15,Solid,False,True,False,True,False,Nonmetal,1.2,2.19,10.4867,1.82,317.25,553.0,7,None,1669,0.769,3,5
16,S,Sulfur,32.065,16,16,16,3,16,Solid,False,True,False,True,False,Nonmetal,1.1,2.58,10.36,2.07,388.51,717.8,10,None,None,0.71,3,6
17,Cl,Chlorine,35.453,17,18,17,3,17,Gas,False,True,False,True,False,Halogen,0.97,3.16,12.9676,0.00321,172.31,239.11,11,None,1774,0.479,3,7
